process_id,program,process_kind,python_source,idempotency_rule,retry_policy,idempotency_evidence_ref,retry_evidence_ref,owner_switch_id,verification_status,owner_signoff,verification_notes,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
PROC-011,globalpromstats,background-worker,workers/globalpromstats/globalpromstats.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/globalpromstats/globalpromstats.py:41,workers/globalpromstats/globalpromstats.py:48; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_GLOBALPROMSTATS,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-GLOBALPROMSTATS; WRT-GLOBALPROMSTATS; WMT-GLOBALPROMSTATS,Set GO_WORKER_ENABLE_GLOBALPROMSTATS=false; set QUAY_OVERRIDE_SERVICES=globalpromstats=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-012,manifestbackfillworker,background-worker,workers/manifestbackfillworker.py,CAS-style updates when fields still null,scheduler retry on next interval,workers/manifestbackfillworker.py:21,workers/manifestbackfillworker.py:29; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_MANIFESTBACKFILLWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-MANIFESTBACKFILLWORKER; WRT-MANIFESTBACKFILLWORKER; WMT-MANIFESTBACKFILLWORKER,Set GO_WORKER_ENABLE_MANIFESTBACKFILLWORKER=false; set QUAY_OVERRIDE_SERVICES=manifestbackfillworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-013,manifestsubjectbackfillworker,background-worker,workers/manifestsubjectbackfillworker.py,CAS-style updates when fields still null,scheduler retry on next interval,workers/manifestsubjectbackfillworker.py:22,workers/manifestsubjectbackfillworker.py:29; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_MANIFESTSUBJECTBACKFILLWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-MANIFESTSUBJECTBACKFILLWORKER; WRT-MANIFESTSUBJECTBACKFILLWORKER; WMT-MANIFESTSUBJECTBACKFILLWORKER,Set GO_WORKER_ENABLE_MANIFESTSUBJECTBACKFILLWORKER=false; set QUAY_OVERRIDE_SERVICES=manifestsubjectbackfillworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-014,pullstatsredisflushworker,background-worker,workers/pullstatsredisflushworker.py,atomic RENAME claim + write then delete pattern for redis keys,scheduled; redis keys retained on DB flush failure for next run,workers/pullstatsredisflushworker.py:43,workers/pullstatsredisflushworker.py:58; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_PULLSTATSREDISFLUSHWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-PULLSTATSREDISFLUSHWORKER; WRT-PULLSTATSREDISFLUSHWORKER; WMT-PULLSTATSREDISFLUSHWORKER,Set GO_WORKER_ENABLE_PULLSTATSREDISFLUSHWORKER=false; set QUAY_OVERRIDE_SERVICES=pullstatsredisflushworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-015,queuecleanupworker,background-worker,workers/queuecleanupworker.py,time/threshold-based delete; repeat-safe,scheduler retry on next interval,workers/queuecleanupworker.py:20,workers/queuecleanupworker.py:23; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_QUEUECLEANUPWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-QUEUECLEANUPWORKER; WRT-QUEUECLEANUPWORKER; WMT-QUEUECLEANUPWORKER,Set GO_WORKER_ENABLE_QUEUECLEANUPWORKER=false; set QUAY_OVERRIDE_SERVICES=queuecleanupworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-016,quotaregistrysizeworker,background-worker,workers/quotaregistrysizeworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/quotaregistrysizeworker.py:16,workers/quotaregistrysizeworker.py:19; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_QUOTAREGISTRYSIZEWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,quota-platform,P1,WBT-QUOTAREGISTRYSIZEWORKER; WRT-QUOTAREGISTRYSIZEWORKER; WMT-QUOTAREGISTRYSIZEWORKER,Set GO_WORKER_ENABLE_QUOTAREGISTRYSIZEWORKER=false; set QUAY_OVERRIDE_SERVICES=quotaregistrysizeworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-017,quotatotalworker,background-worker,workers/quotatotalworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/quotatotalworker.py:22,workers/quotatotalworker.py:25; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_QUOTATOTALWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,quota-platform,P1,WBT-QUOTATOTALWORKER; WRT-QUOTATOTALWORKER; WMT-QUOTATOTALWORKER,Set GO_WORKER_ENABLE_QUOTATOTALWORKER=false; set QUAY_OVERRIDE_SERVICES=quotatotalworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-018,repositoryactioncounter,background-worker,workers/repositoryactioncounter.py,preempt checks and atomic store/update paths,scheduler retry on next interval,workers/repositoryactioncounter.py:19,workers/repositoryactioncounter.py:22; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_REPOSITORYACTIONCOUNTER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-REPOSITORYACTIONCOUNTER; WRT-REPOSITORYACTIONCOUNTER; WMT-REPOSITORYACTIONCOUNTER,Set GO_WORKER_ENABLE_REPOSITORYACTIONCOUNTER=false; set QUAY_OVERRIDE_SERVICES=repositoryactioncounter=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-019,servicekey,background-worker,workers/servicekeyworker/servicekeyworker.py,updates expiration for known key id; repeat-safe,scheduler retry on next interval,workers/servicekeyworker/servicekeyworker.py:21,workers/servicekeyworker/servicekeyworker.py:24; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_SERVICEKEY,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-SERVICEKEY; WRT-SERVICEKEY; WMT-SERVICEKEY,Set GO_WORKER_ENABLE_SERVICEKEY=false; set QUAY_OVERRIDE_SERVICES=servicekey=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-020,blobuploadcleanupworker,background-worker,workers/blobuploadcleanupworker/blobuploadcleanupworker.py,global lock + stale threshold; safe repeated cleanup,scheduler retry on next interval,workers/blobuploadcleanupworker/blobuploadcleanupworker.py:22,workers/blobuploadcleanupworker/blobuploadcleanupworker.py:25; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_BLOBUPLOADCLEANUPWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,storage-platform,P2,WBT-BLOBUPLOADCLEANUPWORKER; WRT-BLOBUPLOADCLEANUPWORKER; WMT-BLOBUPLOADCLEANUPWORKER,Set GO_WORKER_ENABLE_BLOBUPLOADCLEANUPWORKER=false; set QUAY_OVERRIDE_SERVICES=blobuploadcleanupworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP2-WORKERS
PROC-021,chunkcleanupworker,background-worker,workers/chunkcleanupworker.py,safe-if-missing path check before delete,QueueWorker: JobException => retry consumed; sleep/unhealthy => retry restored,workers/chunkcleanupworker.py:22; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_CHUNKCLEANUPWORKER,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,storage-platform,P2,WBT-CHUNKCLEANUPWORKER; WRT-CHUNKCLEANUPWORKER; WMT-CHUNKCLEANUPWORKER,Set GO_WORKER_ENABLE_CHUNKCLEANUPWORKER=false; set QUAY_OVERRIDE_SERVICES=chunkcleanupworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP2-WORKERS
PROC-022,exportactionlogsworker,background-worker,workers/exportactionlogsworker.py,export_id + storage key; callback repeats possible on retries,QueueWorker; callback/upload failures retried via queue retries,workers/exportactionlogsworker.py:49; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_EXPORTACTIONLOGSWORKER,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,worker-platform,P2,WBT-EXPORTACTIONLOGSWORKER; WRT-EXPORTACTIONLOGSWORKER; WMT-EXPORTACTIONLOGSWORKER,Set GO_WORKER_ENABLE_EXPORTACTIONLOGSWORKER=false; set QUAY_OVERRIDE_SERVICES=exportactionlogsworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP2-WORKERS
PROC-023,notificationworker,background-worker,workers/notificationworker/notificationworker.py,notification failure counters + reset on success; event replays possible,QueueWorker; method/event errors may consume retry,workers/notificationworker/notificationworker.py:21; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_NOTIFICATIONWORKER,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,notifications-platform,P2,WBT-NOTIFICATIONWORKER; WRT-NOTIFICATIONWORKER; WMT-NOTIFICATIONWORKER,Set GO_WORKER_ENABLE_NOTIFICATIONWORKER=false; set QUAY_OVERRIDE_SERVICES=notificationworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP2-WORKERS
PROC-024,proxycacheblobworker,background-worker,workers/proxycacheblobworker.py,checks blob placement before download; safe to retry,"QueueWorker; exceptions logged, queue retry behavior applies",workers/proxycacheblobworker.py:28; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_PROXYCACHEBLOBWORKER,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,storage-platform,P2,WBT-PROXYCACHEBLOBWORKER; WRT-PROXYCACHEBLOBWORKER; WMT-PROXYCACHEBLOBWORKER,Set GO_WORKER_ENABLE_PROXYCACHEBLOBWORKER=false; set QUAY_OVERRIDE_SERVICES=proxycacheblobworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP2-WORKERS
PROC-025,securityscanningnotificationworker,background-worker,workers/securityscanningnotificationworker.py,extends lease and tracks page index in payload; mark handled at end,QueueWorker; retryable page errors raise JobException,workers/securityscanningnotificationworker.py:29; workers/securityscanningnotificationworker.py:65; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_SECURITYSCANNINGNOTIFICATIONWORKER,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,security-platform,P2,WBT-SECURITYSCANNINGNOTIFICATIONWORKER; WRT-SECURITYSCANNINGNOTIFICATIONWORKER; WMT-SECURITYSCANNINGNOTIFICATIONWORKER,Set GO_WORKER_ENABLE_SECURITYSCANNINGNOTIFICATIONWORKER=false; set QUAY_OVERRIDE_SERVICES=securityscanningnotificationworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP2-WORKERS
PROC-026,storagereplication,background-worker,workers/storagereplication.py,copy + post-copy existence check + placement add; retries safe,QueueWorker + exponential backoff; transient copy failures retry,workers/storagereplication.py:27; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_STORAGEREPLICATION,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,storage-platform,P2,WBT-STORAGEREPLICATION; WRT-STORAGEREPLICATION; WMT-STORAGEREPLICATION,Set GO_WORKER_ENABLE_STORAGEREPLICATION=false; set QUAY_OVERRIDE_SERVICES=storagereplication=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP2-WORKERS
PROC-027,autopruneworker,background-worker,workers/autopruneworker.py,task-driven updates with status transitions,scheduler retry on next interval,workers/autopruneworker.py:62,workers/autopruneworker.py:65; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_AUTOPRUNEWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P3,WBT-AUTOPRUNEWORKER; WRT-AUTOPRUNEWORKER; WMT-AUTOPRUNEWORKER,Set GO_WORKER_ENABLE_AUTOPRUNEWORKER=false; set QUAY_OVERRIDE_SERVICES=autopruneworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP3-WORKERS
PROC-028,logrotateworker,background-worker,workers/logrotateworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/logrotateworker.py:34,workers/logrotateworker.py:41; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_LOGROTATEWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P3,WBT-LOGROTATEWORKER; WRT-LOGROTATEWORKER; WMT-LOGROTATEWORKER,Set GO_WORKER_ENABLE_LOGROTATEWORKER=false; set QUAY_OVERRIDE_SERVICES=logrotateworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP3-WORKERS
PROC-029,reconciliationworker,background-worker,workers/reconciliationworker.py,lock-protected; external API side effects can repeat,scheduler retry on next interval,workers/reconciliationworker.py:124,workers/reconciliationworker.py:127; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_RECONCILIATIONWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P3,WBT-RECONCILIATIONWORKER; WRT-RECONCILIATIONWORKER; WMT-RECONCILIATIONWORKER,Set GO_WORKER_ENABLE_RECONCILIATIONWORKER=false; set QUAY_OVERRIDE_SERVICES=reconciliationworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP3-WORKERS
PROC-030,repomirrorworker,background-worker,workers/repomirrorworker/repomirrorworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/repomirrorworker/repomirrorworker.py:24,workers/repomirrorworker/repomirrorworker.py:36; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_REPOMIRRORWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,mirror-platform,P3,WBT-REPOMIRRORWORKER; WRT-REPOMIRRORWORKER; WMT-REPOMIRRORWORKER,Set GO_WORKER_ENABLE_REPOMIRRORWORKER=false; set QUAY_OVERRIDE_SERVICES=repomirrorworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP3-WORKERS
PROC-031,securityworker,background-worker,workers/securityworker/securityworker.py,tokenized scanner indexing with optional global lock,scheduler retry on next interval,workers/securityworker/securityworker.py:21,workers/securityworker/securityworker.py:28; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_SECURITYWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,security-platform,P3,WBT-SECURITYWORKER; WRT-SECURITYWORKER; WMT-SECURITYWORKER,Set GO_WORKER_ENABLE_SECURITYWORKER=false; set QUAY_OVERRIDE_SERVICES=securityworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP3-WORKERS
PROC-032,teamsyncworker,background-worker,workers/teamsyncworker/teamsyncworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/teamsyncworker/teamsyncworker.py:19,workers/teamsyncworker/teamsyncworker.py:26; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_TEAMSYNCWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,identity-platform,P3,WBT-TEAMSYNCWORKER; WRT-TEAMSYNCWORKER; WMT-TEAMSYNCWORKER,Set GO_WORKER_ENABLE_TEAMSYNCWORKER=false; set QUAY_OVERRIDE_SERVICES=teamsyncworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP3-WORKERS
PROC-033,gcworker,background-worker,workers/gc/gcworker.py,repo-level lock and garbage_collect_repo semantics,scheduler retry on next interval,workers/gc/gcworker.py:29,workers/gc/gcworker.py:32; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_GCWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,gc-platform,P4,WBT-GCWORKER; WRT-GCWORKER; WMT-GCWORKER,Set GO_WORKER_ENABLE_GCWORKER=false; set QUAY_OVERRIDE_SERVICES=gcworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP4-WORKERS
PROC-034,namespacegcworker,background-worker,workers/namespacegcworker.py,marker-based delete with global lock; repeats until fully purged,QueueWorker + WorkerSleepException on lock contention,workers/namespacegcworker.py:26; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_NAMESPACEGCWORKER,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,gc-platform,P4,WBT-NAMESPACEGCWORKER; WRT-NAMESPACEGCWORKER; WMT-NAMESPACEGCWORKER,Set GO_WORKER_ENABLE_NAMESPACEGCWORKER=false; set QUAY_OVERRIDE_SERVICES=namespacegcworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP4-WORKERS
PROC-035,repositorygcworker,background-worker,workers/repositorygcworker.py,marker-based delete with global lock; effectively idempotent on missing marker,QueueWorker + WorkerSleepException on lock contention,workers/repositorygcworker.py:25; workers/queueworker.py:178,workers/queueworker.py:114; workers/queueworker.py:168,WORKER_OWNER_REPOSITORYGCWORKER,verified-source-anchored,,QueueWorker claim/process/complete/incomplete lifecycle anchors retry and at-least-once semantics.,gc-platform,P4,WBT-REPOSITORYGCWORKER; WRT-REPOSITORYGCWORKER; WMT-REPOSITORYGCWORKER,Set GO_WORKER_ENABLE_REPOSITORYGCWORKER=false; set QUAY_OVERRIDE_SERVICES=repositorygcworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP4-WORKERS
PROC-036,builder,build-manager,buildman/builder.py,best-effort idempotency via periodic re-evaluation,buildman manager requeues with restore/no-restore based on result class,buildman/manager/ephemeral.py:881,buildman/manager/ephemeral.py:333; buildman/manager/ephemeral.py:912,WORKER_OWNER_BUILDER,verified-source-anchored,,Ordered queue claim and explicit incomplete/restore paths anchor idempotency/retry semantics.,build-platform,P5,WBT-BUILDER; WRT-BUILDER; WMT-BUILDER,Set GO_WORKER_ENABLE_BUILDER=false; set QUAY_OVERRIDE_SERVICES=builder=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP5-WORKERS
