route_id,source_file,symbol,method,path_template,auth_mode,decorators,auth_evidence_ref,verification_status,owner_signoff,verification_notes,source_decorator_snapshot,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
ROUTE-0011,endpoints/api/globalmessages.py,GlobalUserMessage,DELETE,/api/v1/message/<uuid>,session-or-oauth2,show_if,endpoints/api/globalmessages.py:133,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; require_fresh_login; require_scope; resource; show_if; verify_not_prod,api-service,A2,PT-ROUTE-0011,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_MESSAGE_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0012,endpoints/api/globalmessages.py,GlobalUserMessages,GET,/api/v1/messages,session-or-oauth2,,endpoints/api/globalmessages.py:100,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,nickname,api-service,A2,PT-ROUTE-0012,flip `ROUTE_OWNER_API_V1_GET_API_V1_MESSAGES` -> `python`,BATCH-A2-ROUTES
ROUTE-0013,endpoints/api/globalmessages.py,GlobalUserMessages,POST,/api/v1/messages,session-or-oauth2,,endpoints/api/globalmessages.py:113,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_fresh_login; verify_not_prod; nickname; validate_json_request; require_scope,api-service,A2,PT-ROUTE-0013,flip `ROUTE_OWNER_API_V1_POST_API_V1_MESSAGES` -> `python`,BATCH-A2-ROUTES
ROUTE-0014,endpoints/api/organization.py,OrganizationList,POST,/api/v1/organization/,session-or-oauth2,,endpoints/api/organization.py:159,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_user_admin; nickname; validate_json_request,api-service,A2,PT-ROUTE-0014,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION` -> `python`,BATCH-A2-ROUTES
ROUTE-0015,endpoints/api/organization.py,Organization,DELETE,/api/v1/organization/<orgname>,session-or-oauth2,,endpoints/api/organization.py:348,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; require_fresh_login; nickname,api-service,A2,PT-ROUTE-0015,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME` -> `python`,BATCH-A2-ROUTES
ROUTE-0016,endpoints/api/organization.py,Organization,GET,/api/v1/organization/<orgname>,session-or-oauth2,,endpoints/api/organization.py:257,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,nickname,api-service,A2,PT-ROUTE-0016,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME` -> `python`,BATCH-A2-ROUTES
ROUTE-0017,endpoints/api/organization.py,Organization,PUT,/api/v1/organization/<orgname>,session-or-oauth2,,endpoints/api/organization.py:281,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname; validate_json_request,api-service,A2,PT-ROUTE-0017,flip `ROUTE_OWNER_API_V1_PUT_API_V1_ORGANIZATION_ORGNAME` -> `python`,BATCH-A2-ROUTES
ROUTE-0018,endpoints/api/logs.py,OrgAggregateLogs,GET,/api/v1/organization/<orgname>/aggregatelogs,session-or-oauth2,show_if,endpoints/api/logs.py:289,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; parse_args; path_param; query_param; related_user_resource; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0018,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_AGGREGATELOGS` -> `python`,BATCH-A2-ROUTES
ROUTE-0019,endpoints/api/organization.py,OrganizationApplications,GET,/api/v1/organization/<orgname>/applications,session-or-oauth2,,endpoints/api/organization.py:728,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname,api-service,A2,PT-ROUTE-0019,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_APPLICATIONS` -> `python`,BATCH-A2-ROUTES
ROUTE-0020,endpoints/api/organization.py,OrganizationApplications,POST,/api/v1/organization/<orgname>/applications,session-or-oauth2,,endpoints/api/organization.py:751,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname; validate_json_request,api-service,A2,PT-ROUTE-0020,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_APPLICATIONS` -> `python`,BATCH-A2-ROUTES
ROUTE-0021,endpoints/api/organization.py,OrganizationApplicationResource,DELETE,/api/v1/organization/<orgname>/applications/<client_id>,session-or-oauth2,,endpoints/api/organization.py:882,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname,api-service,A2,PT-ROUTE-0021,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME_APPLICATIONS_CLIENT_ID` -> `python`,BATCH-A2-ROUTES
ROUTE-0022,endpoints/api/organization.py,OrganizationApplicationResource,GET,/api/v1/organization/<orgname>/applications/<client_id>,session-or-oauth2,,endpoints/api/organization.py:822,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname,api-service,A2,PT-ROUTE-0022,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_APPLICATIONS_CLIENT_ID` -> `python`,BATCH-A2-ROUTES
ROUTE-0023,endpoints/api/organization.py,OrganizationApplicationResource,PUT,/api/v1/organization/<orgname>/applications/<client_id>,session-or-oauth2,,endpoints/api/organization.py:848,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname; validate_json_request,api-service,A2,PT-ROUTE-0023,flip `ROUTE_OWNER_API_V1_PUT_API_V1_ORGANIZATION_ORGNAME_APPLICATIONS_CLIENT_ID` -> `python`,BATCH-A2-ROUTES
ROUTE-0024,endpoints/api/organization.py,OrganizationApplicationResetClientSecret,POST,/api/v1/organization/<orgname>/applications/<client_id>/resetclientsecret,session-or-oauth2,,endpoints/api/organization.py:917,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,nickname,api-service,A2,PT-ROUTE-0024,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_APPLICATIONS_CLIENT_ID_RESETCLIENTSECRET` -> `python`,BATCH-A2-ROUTES
ROUTE-0025,endpoints/api/policy.py,OrgAutoPrunePolicies,GET,/api/v1/organization/<orgname>/autoprunepolicy/,session-or-oauth2,show_if,endpoints/api/policy.py:40,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0025,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_AUTOPRUNEPOLICY` -> `python`,BATCH-A2-ROUTES
ROUTE-0026,endpoints/api/policy.py,OrgAutoPrunePolicies,POST,/api/v1/organization/<orgname>/autoprunepolicy/,session-or-oauth2,show_if,endpoints/api/policy.py:40,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0026,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_AUTOPRUNEPOLICY` -> `python`,BATCH-A2-ROUTES
ROUTE-0027,endpoints/api/policy.py,OrgAutoPrunePolicy,DELETE,/api/v1/organization/<orgname>/autoprunepolicy/<policy_uuid>,session-or-oauth2,show_if,endpoints/api/policy.py:149,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0027,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME_AUTOPRUNEPOLICY_POLICY_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0028,endpoints/api/policy.py,OrgAutoPrunePolicy,GET,/api/v1/organization/<orgname>/autoprunepolicy/<policy_uuid>,session-or-oauth2,show_if,endpoints/api/policy.py:149,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0028,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_AUTOPRUNEPOLICY_POLICY_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0029,endpoints/api/policy.py,OrgAutoPrunePolicy,PUT,/api/v1/organization/<orgname>/autoprunepolicy/<policy_uuid>,session-or-oauth2,show_if,endpoints/api/policy.py:149,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0029,flip `ROUTE_OWNER_API_V1_PUT_API_V1_ORGANIZATION_ORGNAME_AUTOPRUNEPOLICY_POLICY_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0030,endpoints/api/billing.py,OrganizationCard,GET,/api/v1/organization/<orgname>/card,session-or-oauth2,show_if,endpoints/api/billing.py:355,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,internal_only; nickname; path_param; related_user_resource; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0030,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_CARD` -> `python`,BATCH-A2-ROUTES
ROUTE-0031,endpoints/api/billing.py,OrganizationCard,POST,/api/v1/organization/<orgname>/card,session-or-oauth2,show_if,endpoints/api/billing.py:355,verified-source-anchored,,Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,,api-service,A2,PT-ROUTE-0031,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_CARD` -> `python`,BATCH-A2-ROUTES
ROUTE-0032,endpoints/api/organization.py,OrganizationCollaboratorList,GET,/api/v1/organization/<orgname>/collaborators,session-or-oauth2,,endpoints/api/organization.py:445,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname,api-service,A2,PT-ROUTE-0032,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_COLLABORATORS` -> `python`,BATCH-A2-ROUTES
ROUTE-0033,endpoints/api/logs.py,ExportOrgLogs,POST,/api/v1/organization/<orgname>/exportlogs,session-or-oauth2,show_if,endpoints/api/logs.py:487,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; parse_args; path_param; query_param; related_user_resource; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0033,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_EXPORTLOGS` -> `python`,BATCH-A2-ROUTES
ROUTE-0034,endpoints/api/immutability_policy.py,OrgImmutabilityPolicies,GET,/api/v1/organization/<orgname>/immutabilitypolicy/,session-or-oauth2,show_if,endpoints/api/immutability_policy.py:69,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0034,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_IMMUTABILITYPOLICY` -> `python`,BATCH-A2-ROUTES
ROUTE-0035,endpoints/api/immutability_policy.py,OrgImmutabilityPolicies,POST,/api/v1/organization/<orgname>/immutabilitypolicy/,session-or-oauth2,show_if,endpoints/api/immutability_policy.py:69,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0035,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_IMMUTABILITYPOLICY` -> `python`,BATCH-A2-ROUTES
ROUTE-0036,endpoints/api/immutability_policy.py,OrgImmutabilityPolicy,DELETE,/api/v1/organization/<orgname>/immutabilitypolicy/<policy_uuid>,session-or-oauth2,show_if,endpoints/api/immutability_policy.py:111,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0036,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME_IMMUTABILITYPOLICY_POLICY_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0037,endpoints/api/immutability_policy.py,OrgImmutabilityPolicy,GET,/api/v1/organization/<orgname>/immutabilitypolicy/<policy_uuid>,session-or-oauth2,show_if,endpoints/api/immutability_policy.py:111,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0037,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_IMMUTABILITYPOLICY_POLICY_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0038,endpoints/api/immutability_policy.py,OrgImmutabilityPolicy,PUT,/api/v1/organization/<orgname>/immutabilitypolicy/<policy_uuid>,session-or-oauth2,show_if,endpoints/api/immutability_policy.py:111,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0038,flip `ROUTE_OWNER_API_V1_PUT_API_V1_ORGANIZATION_ORGNAME_IMMUTABILITYPOLICY_POLICY_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0039,endpoints/api/billing.py,OrganizationInvoiceField,DELETE,/api/v1/organization/<orgname>/invoice/field/<field_uuid>,session-or-oauth2,show_if,endpoints/api/billing.py:928,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,internal_only; nickname; path_param; related_user_resource; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0039,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME_INVOICE_FIELD_FIELD_UUID` -> `python`,BATCH-A2-ROUTES
ROUTE-0040,endpoints/api/billing.py,OrganizationInvoiceFieldList,GET,/api/v1/organization/<orgname>/invoice/fields,session-or-oauth2,show_if,endpoints/api/billing.py:863,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,internal_only; nickname; path_param; related_user_resource; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0040,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_INVOICE_FIELDS` -> `python`,BATCH-A2-ROUTES
ROUTE-0041,endpoints/api/billing.py,OrganizationInvoiceFieldList,POST,/api/v1/organization/<orgname>/invoice/fields,session-or-oauth2,show_if,endpoints/api/billing.py:863,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,internal_only; nickname; path_param; related_user_resource; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0041,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_INVOICE_FIELDS` -> `python`,BATCH-A2-ROUTES
ROUTE-0042,endpoints/api/billing.py,OrganizationInvoiceList,GET,/api/v1/organization/<orgname>/invoices,session-or-oauth2,show_if,endpoints/api/billing.py:756,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; related_user_resource; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0042,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_INVOICES` -> `python`,BATCH-A2-ROUTES
ROUTE-0043,endpoints/api/logs.py,OrgLogs,GET,/api/v1/organization/<orgname>/logs,session-or-oauth2,,endpoints/api/logs.py:204,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; parse_args; query_param; query_param; query_param; page_support; require_scope,api-service,A2,PT-ROUTE-0043,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_LOGS` -> `python`,BATCH-A2-ROUTES
ROUTE-0044,endpoints/api/billing.py,OrganizationRhSku,GET,/api/v1/organization/<orgname>/marketplace,session-or-oauth2,show_if,endpoints/api/billing.py:957,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0044,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_MARKETPLACE` -> `python`,BATCH-A2-ROUTES
ROUTE-0045,endpoints/api/billing.py,OrganizationRhSku,POST,/api/v1/organization/<orgname>/marketplace,session-or-oauth2,show_if,endpoints/api/billing.py:957,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0045,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_MARKETPLACE` -> `python`,BATCH-A2-ROUTES
ROUTE-0046,endpoints/api/billing.py,OrganizationRhSkuSubscriptionField,DELETE,/api/v1/organization/<orgname>/marketplace/<subscription_id>,session-or-oauth2,show_if,endpoints/api/billing.py:1094,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0046,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME_MARKETPLACE_SUBSCRIPTION_ID` -> `python`,BATCH-A2-ROUTES
ROUTE-0047,endpoints/api/billing.py,OrganizationRhSkuBatchRemoval,POST,/api/v1/organization/<orgname>/marketplace/batchremove,session-or-oauth2,show_if,endpoints/api/billing.py:1064,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0047,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_MARKETPLACE_BATCHREMOVE` -> `python`,BATCH-A2-ROUTES
ROUTE-0048,endpoints/api/organization.py,OrganizationMemberList,GET,/api/v1/organization/<orgname>/members,session-or-oauth2,,endpoints/api/organization.py:498,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname,api-service,A2,PT-ROUTE-0048,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_MEMBERS` -> `python`,BATCH-A2-ROUTES
ROUTE-0049,endpoints/api/organization.py,OrganizationMember,DELETE,/api/v1/organization/<orgname>/members/<membername>,session-or-oauth2,,endpoints/api/organization.py:616,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname,api-service,A2,PT-ROUTE-0049,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME_MEMBERS_MEMBERNAME` -> `python`,BATCH-A2-ROUTES
ROUTE-0050,endpoints/api/organization.py,OrganizationMember,GET,/api/v1/organization/<orgname>/members/<membername>,session-or-oauth2,,endpoints/api/organization.py:563,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,require_scope; nickname,api-service,A2,PT-ROUTE-0050,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_MEMBERS_MEMBERNAME` -> `python`,BATCH-A2-ROUTES
ROUTE-0051,endpoints/api/org_mirror.py,OrgMirrorConfig,DELETE,/api/v1/organization/<orgname>/mirror,session-or-oauth2,show_if,endpoints/api/org_mirror.py:55,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0051,flip `ROUTE_OWNER_API_V1_DELETE_API_V1_ORGANIZATION_ORGNAME_MIRROR` -> `python`,BATCH-A2-ROUTES
ROUTE-0052,endpoints/api/org_mirror.py,OrgMirrorConfig,GET,/api/v1/organization/<orgname>/mirror,session-or-oauth2,show_if,endpoints/api/org_mirror.py:55,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if,api-service,A2,PT-ROUTE-0052,flip `ROUTE_OWNER_API_V1_GET_API_V1_ORGANIZATION_ORGNAME_MIRROR` -> `python`,BATCH-A2-ROUTES
ROUTE-0053,endpoints/api/org_mirror.py,OrgMirrorConfig,POST,/api/v1/organization/<orgname>/mirror,session-or-oauth2,show_if,endpoints/api/org_mirror.py:55,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0053,flip `ROUTE_OWNER_API_V1_POST_API_V1_ORGANIZATION_ORGNAME_MIRROR` -> `python`,BATCH-A2-ROUTES
ROUTE-0054,endpoints/api/org_mirror.py,OrgMirrorConfig,PUT,/api/v1/organization/<orgname>/mirror,session-or-oauth2,show_if,endpoints/api/org_mirror.py:55,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,nickname; path_param; require_scope; resource; show_if; validate_json_request,api-service,A2,PT-ROUTE-0054,flip `ROUTE_OWNER_API_V1_PUT_API_V1_ORGANIZATION_ORGNAME_MIRROR` -> `python`,BATCH-A2-ROUTES
