process_id,program,process_kind,python_module,python_source,default_autostart,trigger_type,input_contract,idempotency_rule,retry_policy,side_effects,feature_or_startup_guards,python_disable_control,go_enable_control,rollout_phase,rollback_steps,migration_status,notes
PROC-014,pullstatsredisflushworker,background-worker,workers.pullstatsredisflushworker,workers/pullstatsredisflushworker.py,true,scheduled/polling,db/config/feature-state scan,atomic RENAME claim + write then delete pattern for redis keys,scheduled; redis keys retained on DB flush failure for next run,flushes pull metrics from redis into DB tables,IMAGE_PULL_STATS,QUAY_OVERRIDE_SERVICES=pullstatsredisflushworker=false,GO_WORKER_ENABLE_PULLSTATSREDISFLUSHWORKER=true,P1,Set GO_WORKER_ENABLE_PULLSTATSREDISFLUSHWORKER=false; set QUAY_OVERRIDE_SERVICES=pullstatsredisflushworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-015,queuecleanupworker,background-worker,workers.queuecleanupworker,workers/queuecleanupworker.py,true,scheduled/polling,db/config/feature-state scan,time/threshold-based delete; repeat-safe,scheduler retry on next interval,deletes expired queue items from DB,always on (except ACCOUNT_RECOVERY_MODE),QUAY_OVERRIDE_SERVICES=queuecleanupworker=false,GO_WORKER_ENABLE_QUEUECLEANUPWORKER=true,P1,Set GO_WORKER_ENABLE_QUEUECLEANUPWORKER=false; set QUAY_OVERRIDE_SERVICES=queuecleanupworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-016,quotaregistrysizeworker,background-worker,workers.quotaregistrysizeworker,workers/quotaregistrysizeworker.py,true,scheduled/polling,db/config/feature-state scan,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,calculates global registry size snapshots,QUOTA_MANAGEMENT and superuser visibility conditions,QUAY_OVERRIDE_SERVICES=quotaregistrysizeworker=false,GO_WORKER_ENABLE_QUOTAREGISTRYSIZEWORKER=true,P1,Set GO_WORKER_ENABLE_QUOTAREGISTRYSIZEWORKER=false; set QUAY_OVERRIDE_SERVICES=quotaregistrysizeworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-017,quotatotalworker,background-worker,workers.quotatotalworker,workers/quotatotalworker.py,true,scheduled/polling,db/config/feature-state scan,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,backfills namespace quota totals,QUOTA_MANAGEMENT and QUOTA_BACKFILL,QUAY_OVERRIDE_SERVICES=quotatotalworker=false,GO_WORKER_ENABLE_QUOTATOTALWORKER=true,P1,Set GO_WORKER_ENABLE_QUOTATOTALWORKER=false; set QUAY_OVERRIDE_SERVICES=quotatotalworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-018,repositoryactioncounter,background-worker,workers.repositoryactioncounter,workers/repositoryactioncounter.py,true,scheduled/polling,db/config/feature-state scan,preempt checks and atomic store/update paths,scheduler retry on next interval,computes daily repo action counts and score updates,REPOSITORY_ACTION_COUNTER,QUAY_OVERRIDE_SERVICES=repositoryactioncounter=false,GO_WORKER_ENABLE_REPOSITORYACTIONCOUNTER=true,P1,Set GO_WORKER_ENABLE_REPOSITORYACTIONCOUNTER=false; set QUAY_OVERRIDE_SERVICES=repositoryactioncounter=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-019,servicekey,background-worker,workers.servicekeyworker.servicekeyworker,workers/servicekeyworker/servicekeyworker.py,true,scheduled/polling,db/config/feature-state scan,updates expiration for known key id; repeat-safe,scheduler retry on next interval,renews local instance service-key expiration,always on,QUAY_OVERRIDE_SERVICES=servicekey=false,GO_WORKER_ENABLE_SERVICEKEY=true,P1,Set GO_WORKER_ENABLE_SERVICEKEY=false; set QUAY_OVERRIDE_SERVICES=servicekey=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-020,blobuploadcleanupworker,background-worker,workers.blobuploadcleanupworker.blobuploadcleanupworker,workers/blobuploadcleanupworker/blobuploadcleanupworker.py,true,scheduled/polling,db/config/feature-state scan,global lock + stale threshold; safe repeated cleanup,scheduler retry on next interval,deletes stale blob uploads and partial upload storage paths,always on (except ACCOUNT_RECOVERY_MODE),QUAY_OVERRIDE_SERVICES=blobuploadcleanupworker=false,GO_WORKER_ENABLE_BLOBUPLOADCLEANUPWORKER=true,P2,Set GO_WORKER_ENABLE_BLOBUPLOADCLEANUPWORKER=false; set QUAY_OVERRIDE_SERVICES=blobuploadcleanupworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-021,chunkcleanupworker,background-worker,workers.chunkcleanupworker,workers/chunkcleanupworker.py,true,queue-consumer,queue=chunk_cleanup,safe-if-missing path check before delete,QueueWorker: JobException => retry consumed; sleep/unhealthy => retry restored,deletes storage chunks in backend,Swift storage engine present,QUAY_OVERRIDE_SERVICES=chunkcleanupworker=false,GO_WORKER_ENABLE_CHUNKCLEANUPWORKER=true,P2,Set GO_WORKER_ENABLE_CHUNKCLEANUPWORKER=false; set QUAY_OVERRIDE_SERVICES=chunkcleanupworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-022,exportactionlogsworker,background-worker,workers.exportactionlogsworker,workers/exportactionlogsworker.py,true,queue-consumer,queue=exportactionlogs,export_id + storage key; callback repeats possible on retries,QueueWorker; callback/upload failures retried via queue retries,exports logs to object storage + callback URL/email,LOG_EXPORT,QUAY_OVERRIDE_SERVICES=exportactionlogsworker=false,GO_WORKER_ENABLE_EXPORTACTIONLOGSWORKER=true,P2,Set GO_WORKER_ENABLE_EXPORTACTIONLOGSWORKER=false; set QUAY_OVERRIDE_SERVICES=exportactionlogsworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-023,notificationworker,background-worker,workers.notificationworker.notificationworker,workers/notificationworker/notificationworker.py,true,queue-consumer,queue=notification,notification failure counters + reset on success; event replays possible,QueueWorker; method/event errors may consume retry,sends outbound notifications via configured methods,always on (except ACCOUNT_RECOVERY_MODE),QUAY_OVERRIDE_SERVICES=notificationworker=false,GO_WORKER_ENABLE_NOTIFICATIONWORKER=true,P2,Set GO_WORKER_ENABLE_NOTIFICATIONWORKER=false; set QUAY_OVERRIDE_SERVICES=notificationworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-024,proxycacheblobworker,background-worker,workers.proxycacheblobworker,workers/proxycacheblobworker.py,true,queue-consumer,queue=proxycacheblob,checks blob placement before download; safe to retry,"QueueWorker; exceptions logged, queue retry behavior applies",downloads proxy-cache blobs and writes placements,PROXY_CACHE and PROXY_CACHE_BLOB_DOWNLOAD,QUAY_OVERRIDE_SERVICES=proxycacheblobworker=false,GO_WORKER_ENABLE_PROXYCACHEBLOBWORKER=true,P2,Set GO_WORKER_ENABLE_PROXYCACHEBLOBWORKER=false; set QUAY_OVERRIDE_SERVICES=proxycacheblobworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-025,securityscanningnotificationworker,background-worker,workers.securityscanningnotificationworker,workers/securityscanningnotificationworker.py,true,queue-consumer,queue=secscanv4,extends lease and tracks page index in payload; mark handled at end,QueueWorker; retryable page errors raise JobException,processes secscan pages and spawns vulnerability notifications,SECURITY_SCANNER and SECURITY_NOTIFICATIONS,QUAY_OVERRIDE_SERVICES=securityscanningnotificationworker=false,GO_WORKER_ENABLE_SECURITYSCANNINGNOTIFICATIONWORKER=true,P2,Set GO_WORKER_ENABLE_SECURITYSCANNINGNOTIFICATIONWORKER=false; set QUAY_OVERRIDE_SERVICES=securityscanningnotificationworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-026,storagereplication,background-worker,workers.storagereplication,workers/storagereplication.py,true,queue-consumer,queue=imagestoragereplication,copy + post-copy existence check + placement add; retries safe,QueueWorker + exponential backoff; transient copy failures retry,copies blobs to required storage regions and records placement,STORAGE_REPLICATION and non-local storage,QUAY_OVERRIDE_SERVICES=storagereplication=false,GO_WORKER_ENABLE_STORAGEREPLICATION=true,P2,Set GO_WORKER_ENABLE_STORAGEREPLICATION=false; set QUAY_OVERRIDE_SERVICES=storagereplication=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-027,autopruneworker,background-worker,workers.autopruneworker,workers/autopruneworker.py,true,scheduled/polling,db/config/feature-state scan,task-driven updates with status transitions,scheduler retry on next interval,executes namespace/repo autoprune policies,AUTO_PRUNE,QUAY_OVERRIDE_SERVICES=autopruneworker=false,GO_WORKER_ENABLE_AUTOPRUNEWORKER=true,P3,Set GO_WORKER_ENABLE_AUTOPRUNEWORKER=false; set QUAY_OVERRIDE_SERVICES=autopruneworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-028,logrotateworker,background-worker,workers.logrotateworker,workers/logrotateworker.py,true,scheduled/polling,db/config/feature-state scan,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,archives action logs to storage and rotates DB entries,ACTION_LOG_ROTATION and archive path/location,QUAY_OVERRIDE_SERVICES=logrotateworker=false,GO_WORKER_ENABLE_LOGROTATEWORKER=true,P3,Set GO_WORKER_ENABLE_LOGROTATEWORKER=false; set QUAY_OVERRIDE_SERVICES=logrotateworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-029,reconciliationworker,background-worker,workers.reconciliationworker,workers/reconciliationworker.py,true,scheduled/polling,db/config/feature-state scan,lock-protected; external API side effects can repeat,scheduler retry on next interval,calls marketplace/stripe APIs and reconciles entitlements,ENTITLEMENT_RECONCILIATION,QUAY_OVERRIDE_SERVICES=reconciliationworker=false,GO_WORKER_ENABLE_RECONCILIATIONWORKER=true,P3,Set GO_WORKER_ENABLE_RECONCILIATIONWORKER=false; set QUAY_OVERRIDE_SERVICES=reconciliationworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-030,repomirrorworker,background-worker,workers.repomirrorworker.repomirrorworker,workers/repomirrorworker/repomirrorworker.py,false,scheduled/polling,db/config/feature-state scan,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,executes repo/org mirror discovery and synchronization,REPO_MIRROR,QUAY_OVERRIDE_SERVICES=repomirrorworker=false,GO_WORKER_ENABLE_REPOMIRRORWORKER=true,P3,Set GO_WORKER_ENABLE_REPOMIRRORWORKER=false; set QUAY_OVERRIDE_SERVICES=repomirrorworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-031,securityworker,background-worker,workers.securityworker.securityworker,workers/securityworker/securityworker.py,true,scheduled/polling,db/config/feature-state scan,tokenized scanner indexing with optional global lock,scheduler retry on next interval,indexes manifests in security scanner backend,SECURITY_SCANNER,QUAY_OVERRIDE_SERVICES=securityworker=false,GO_WORKER_ENABLE_SECURITYWORKER=true,P3,Set GO_WORKER_ENABLE_SECURITYWORKER=false; set QUAY_OVERRIDE_SERVICES=securityworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-032,teamsyncworker,background-worker,workers.teamsyncworker.teamsyncworker,workers/teamsyncworker/teamsyncworker.py,true,scheduled/polling,db/config/feature-state scan,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,syncs team memberships with federated groups,TEAM_SYNCING and federated auth configured,QUAY_OVERRIDE_SERVICES=teamsyncworker=false,GO_WORKER_ENABLE_TEAMSYNCWORKER=true,P3,Set GO_WORKER_ENABLE_TEAMSYNCWORKER=false; set QUAY_OVERRIDE_SERVICES=teamsyncworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-033,gcworker,background-worker,workers.gc.gcworker,workers/gc/gcworker.py,true,scheduled/polling,db/config/feature-state scan,repo-level lock and garbage_collect_repo semantics,scheduler retry on next interval,garbage collects repository content; can emit expiry notifications,GARBAGE_COLLECTION; optional IMAGE_EXPIRY_TRIGGER,QUAY_OVERRIDE_SERVICES=gcworker=false,GO_WORKER_ENABLE_GCWORKER=true,P4,Set GO_WORKER_ENABLE_GCWORKER=false; set QUAY_OVERRIDE_SERVICES=gcworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-034,namespacegcworker,background-worker,workers.namespacegcworker,workers/namespacegcworker.py,true,queue-consumer,queue=namespacegc,marker-based delete with global lock; repeats until fully purged,QueueWorker + WorkerSleepException on lock contention,purges namespace and owned repositories for deletion markers,NAMESPACE_GARBAGE_COLLECTION; !DISABLE_PUSHES,QUAY_OVERRIDE_SERVICES=namespacegcworker=false,GO_WORKER_ENABLE_NAMESPACEGCWORKER=true,P4,Set GO_WORKER_ENABLE_NAMESPACEGCWORKER=false; set QUAY_OVERRIDE_SERVICES=namespacegcworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-035,repositorygcworker,background-worker,workers.repositorygcworker,workers/repositorygcworker.py,true,queue-consumer,queue=repositorygc,marker-based delete with global lock; effectively idempotent on missing marker,QueueWorker + WorkerSleepException on lock contention,purges repository data for deletion markers,REPOSITORY_GARBAGE_COLLECTION; !DISABLE_PUSHES,QUAY_OVERRIDE_SERVICES=repositorygcworker=false,GO_WORKER_ENABLE_REPOSITORYGCWORKER=true,P4,Set GO_WORKER_ENABLE_REPOSITORYGCWORKER=false; set QUAY_OVERRIDE_SERVICES=repositorygcworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-036,builder,build-manager,buildman.builder,buildman/builder.py,true,queue-consumer,queue=dockerfilebuild(ordered),best-effort idempotency via periodic re-evaluation,buildman manager requeues with restore/no-restore based on result class,"schedules builds, interacts with executors, updates queue and build status/notifications","BUILD_SUPPORT, BUILD_MANAGER config, !readonly, !ACCOUNT_RECOVERY_MODE",QUAY_OVERRIDE_SERVICES=builder=false,GO_WORKER_ENABLE_BUILDER=true,P5,Set GO_WORKER_ENABLE_BUILDER=false; set QUAY_OVERRIDE_SERVICES=builder=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
