route_id,source_file,symbol,method,path_template,auth_mode,decorators,auth_evidence_ref,verification_status,owner_signoff,verification_notes,source_decorator_snapshot,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
ROUTE-0352,endpoints/web.py,attach_bitbucket_trigger,GET,/bitbucket/setup/<repopath:repository>,session-required,"web.route(""/bitbucket/setup/<repopath:repository>"", methods=[""GET""]); require_session_login; parse_repository_name(); route_show_if(features.BITBUCKET_BUILD)",endpoints/web.py:925,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-required-family-match).,parse_repository_name; require_session_login; route; route_show_if,api-service-web,A4,PT-ROUTE-0352,flip `ROUTE_OWNER_WEB_GET_BITBUCKET_SETUP_REPOPATH_REPOSITORY` -> `python`,BATCH-A4-ROUTES
ROUTE-0353,endpoints/web.py,buildlogs,GET,/buildlogs/<build_uuid>,session-or-anon-ui,"web.route(""/buildlogs/<build_uuid>"", methods=[""GET""]); route_show_if(features.BUILD_SUPPORT); process_auth_or_cookie",endpoints/web.py:383,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,process_auth_or_cookie; route; route_show_if,api-service-web,A4,PT-ROUTE-0353,flip `ROUTE_OWNER_WEB_GET_BUILDLOGS_BUILD_UUID` -> `python`,BATCH-A4-ROUTES
ROUTE-0354,endpoints/web.py,config,GET,/config,anon-allowed,"web.route(""/config"", methods=[""GET"", ""OPTIONS""]); crossorigin(anonymous=False)",endpoints/web.py:1135,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,crossorigin; route,api-service-web,A4,PT-ROUTE-0354,flip `ROUTE_OWNER_WEB_GET_CONFIG` -> `python`,BATCH-A4-ROUTES
ROUTE-0355,endpoints/web.py,config,OPTIONS,/config,anon-allowed,"web.route(""/config"", methods=[""GET"", ""OPTIONS""]); crossorigin(anonymous=False)",endpoints/web.py:1135,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,crossorigin; route,api-service-web,A4,PT-ROUTE-0355,flip `ROUTE_OWNER_WEB_OPTIONS_CONFIG` -> `python`,BATCH-A4-ROUTES
ROUTE-0356,endpoints/web.py,confirm_email,GET,/confirm,anon-allowed,"web.route(""/confirm"", methods=[""GET""]); route_show_if(features.MAILING); anon_allowed",endpoints/web.py:538,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; route; route_show_if,api-service-web,A4,PT-ROUTE-0356,flip `ROUTE_OWNER_WEB_GET_CONFIRM` -> `python`,BATCH-A4-ROUTES
ROUTE-0357,endpoints/web.py,confirm_invite,GET,/confirminvite,session-or-anon-ui,"web.route(""/confirminvite""); no_cache",endpoints/web.py:241,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0357,flip `ROUTE_OWNER_WEB_GET_CONFIRMINVITE` -> `python`,BATCH-A4-ROUTES
ROUTE-0358,endpoints/web.py,contact,GET,/contact/,session-or-anon-ui,"web.route(""/contact/""); no_cache",endpoints/web.py:217,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0358,flip `ROUTE_OWNER_WEB_GET_CONTACT` -> `python`,BATCH-A4-ROUTES
ROUTE-0359,endpoints/web.py,csrf_token,GET,/csrf_token,anon-allowed,"web.route(""/csrf_token"", methods=[""GET"", ""OPTIONS""]); crossorigin(anonymous=False)",endpoints/web.py:1156,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,crossorigin; route,api-service-web,A4,PT-ROUTE-0359,flip `ROUTE_OWNER_WEB_GET_CSRF_TOKEN` -> `python`,BATCH-A4-ROUTES
ROUTE-0360,endpoints/web.py,csrf_token,OPTIONS,/csrf_token,anon-allowed,"web.route(""/csrf_token"", methods=[""GET"", ""OPTIONS""]); crossorigin(anonymous=False)",endpoints/web.py:1156,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,crossorigin; route,api-service-web,A4,PT-ROUTE-0360,flip `ROUTE_OWNER_WEB_OPTIONS_CSRF_TOKEN` -> `python`,BATCH-A4-ROUTES
ROUTE-0361,endpoints/web.py,attach_custom_build_trigger,GET,/customtrigger/setup/<repopath:repository>,session-required,"web.route(""/customtrigger/setup/<repopath:repository>"", methods=[""GET""]); require_session_login; parse_repository_name()",endpoints/web.py:959,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-required-family-match).,parse_repository_name; require_session_login; route,api-service-web,A4,PT-ROUTE-0361,flip `ROUTE_OWNER_WEB_GET_CUSTOMTRIGGER_SETUP_REPOPATH_REPOSITORY` -> `python`,BATCH-A4-ROUTES
ROUTE-0362,endpoints/web.py,enterprise,GET,/enterprise/,session-or-anon-ui,"web.route(""/enterprise/""); no_cache; route_show_if(features.BILLING)",endpoints/web.py:268,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route; route_show_if,api-service-web,A4,PT-ROUTE-0362,flip `ROUTE_OWNER_WEB_GET_ENTERPRISE` -> `python`,BATCH-A4-ROUTES
ROUTE-0363,endpoints/web.py,exportedlogs,GET,/exportedlogs/<file_id>,session-or-anon-ui,"web.route(""/exportedlogs/<file_id>"", methods=[""GET""])",endpoints/web.py:411,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,route,api-service-web,A4,PT-ROUTE-0363,flip `ROUTE_OWNER_WEB_GET_EXPORTEDLOGS_FILE_ID` -> `python`,BATCH-A4-ROUTES
ROUTE-0364,endpoints/web.py,guide,GET,/guide/,session-or-anon-ui,"web.route(""/guide/""); no_cache",endpoints/web.py:171,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0364,flip `ROUTE_OWNER_WEB_GET_GUIDE` -> `python`,BATCH-A4-ROUTES
ROUTE-0365,endpoints/web.py,instance_health,GET,/health,session-or-anon-ui,"web.route(""/health"", methods=[""GET""]); web.route(""/health/instance"", methods=[""GET""]); process_auth_or_cookie; no_cache",endpoints/web.py:301,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; process_auth_or_cookie; route,api-service-web,A4,PT-ROUTE-0365,flip `ROUTE_OWNER_WEB_GET_HEALTH` -> `python`,BATCH-A4-ROUTES
ROUTE-0366,endpoints/web.py,dbrevision_health,GET,/health/dbrevision,session-or-anon-ui,"web.route(""/health/dbrevision"", methods=[""GET""]); route_show_if(features.BILLING); process_auth_or_cookie; no_cache",endpoints/web.py:336,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; process_auth_or_cookie; route; route_show_if,api-service-web,A4,PT-ROUTE-0366,flip `ROUTE_OWNER_WEB_GET_HEALTH_DBREVISION` -> `python`,BATCH-A4-ROUTES
ROUTE-0367,endpoints/web.py,enable_health_debug,GET,/health/enabledebug/<secret>,session-or-anon-ui,"web.route(""/health/enabledebug/<secret>"", methods=[""GET""]); no_cache",endpoints/web.py:359,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0367,flip `ROUTE_OWNER_WEB_GET_HEALTH_ENABLEDEBUG_SECRET` -> `python`,BATCH-A4-ROUTES
ROUTE-0368,endpoints/web.py,endtoend_health,GET,/health/endtoend,session-or-anon-ui,"web.route(""/status"", methods=[""GET""]); web.route(""/health/endtoend"", methods=[""GET""]); process_auth_or_cookie; no_cache",endpoints/web.py:313,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; process_auth_or_cookie; route,api-service-web,A4,PT-ROUTE-0368,flip `ROUTE_OWNER_WEB_GET_HEALTH_ENDTOEND` -> `python`,BATCH-A4-ROUTES
ROUTE-0369,endpoints/web.py,instance_health,GET,/health/instance,session-or-anon-ui,"web.route(""/health"", methods=[""GET""]); web.route(""/health/instance"", methods=[""GET""]); process_auth_or_cookie; no_cache",endpoints/web.py:301,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; process_auth_or_cookie; route,api-service-web,A4,PT-ROUTE-0369,flip `ROUTE_OWNER_WEB_GET_HEALTH_INSTANCE` -> `python`,BATCH-A4-ROUTES
ROUTE-0370,endpoints/web.py,warning_health,GET,/health/warning,session-or-anon-ui,"web.route(""/health/warning"", methods=[""GET""]); process_auth_or_cookie; no_cache",endpoints/web.py:324,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; process_auth_or_cookie; route,api-service-web,A4,PT-ROUTE-0370,flip `ROUTE_OWNER_WEB_GET_HEALTH_WARNING` -> `python`,BATCH-A4-ROUTES
ROUTE-0371,endpoints/web.py,logarchive,GET,/logarchive/<file_id>,session-or-anon-ui,"web.route(""/logarchive/<file_id>"", methods=[""GET""]); route_show_if(features.BUILD_SUPPORT); process_auth_or_cookie",endpoints/web.py:443,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,process_auth_or_cookie; route; route_show_if,api-service-web,A4,PT-ROUTE-0371,flip `ROUTE_OWNER_WEB_GET_LOGARCHIVE_FILE_ID` -> `python`,BATCH-A4-ROUTES
ROUTE-0372,endpoints/web.py,new,GET,/new/,session-or-anon-ui,"web.route(""/new/""); no_cache",endpoints/web.py:229,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0372,flip `ROUTE_OWNER_WEB_GET_NEW` -> `python`,BATCH-A4-ROUTES
ROUTE-0373,endpoints/web.py,exchange_code_for_token,POST,/oauth/access_token,session-or-anon-ui,"web.route(""/oauth/access_token"", methods=[""POST""]); no_cache; param_required(""grant_type"", allow_body=True); param_required(""client_id"", allow_body=True); param_required(""redirect_uri"", allow_body=True); param_required(""code"", allow_body=True); param_required(""scope"", allow_body=True)",endpoints/web.py:903,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; param_required; route,api-service-web,A4,PT-ROUTE-0373,flip `ROUTE_OWNER_WEB_POST_OAUTH_ACCESS_TOKEN` -> `python`,BATCH-A4-ROUTES
ROUTE-0374,endpoints/web.py,request_authorization_code,GET,/oauth/authorize,session-or-anon-ui,"web.route(""/oauth/authorize"", methods=[""GET""]); no_cache; param_required(""client_id""); param_required(""redirect_uri""); param_required(""scope""); process_auth_or_cookie",endpoints/web.py:722,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; param_required; process_auth_or_cookie; route,api-service-web,A4,PT-ROUTE-0374,flip `ROUTE_OWNER_WEB_GET_OAUTH_AUTHORIZE` -> `python`,BATCH-A4-ROUTES
ROUTE-0375,endpoints/web.py,assign_user_to_app,POST,/oauth/authorize/assignuser,session-or-anon-ui,"web.route(""/oauth/authorize/assignuser"", methods=[""POST""]); no_cache; param_required(""client_id""); param_required(""redirect_uri""); param_required(""scope""); param_required(""username""); process_auth_or_cookie; csrf_protect()",endpoints/web.py:845,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,csrf_protect; no_cache; param_required; process_auth_or_cookie; route,api-service-web,A4,PT-ROUTE-0375,flip `ROUTE_OWNER_WEB_POST_OAUTH_AUTHORIZE_ASSIGNUSER` -> `python`,BATCH-A4-ROUTES
ROUTE-0376,endpoints/web.py,authorize_application,POST,/oauth/authorizeapp,session-or-anon-ui,"web.route(""/oauth/authorizeapp"", methods=[""POST""]); process_auth_or_cookie",endpoints/web.py:637,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,process_auth_or_cookie; route,api-service-web,A4,PT-ROUTE-0376,flip `ROUTE_OWNER_WEB_POST_OAUTH_AUTHORIZEAPP` -> `python`,BATCH-A4-ROUTES
ROUTE-0377,endpoints/web.py,deny_application,POST,/oauth/denyapp,session-or-anon-ui,"web.route(""/oauth/denyapp"", methods=[""POST""]); csrf_protect()",endpoints/web.py:702,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,csrf_protect; route,api-service-web,A4,PT-ROUTE-0377,flip `ROUTE_OWNER_WEB_POST_OAUTH_DENYAPP` -> `python`,BATCH-A4-ROUTES
ROUTE-0378,endpoints/web.py,opensearch,GET,/opensearch.xml,session-or-anon-ui,"web.route(""/opensearch.xml"")",endpoints/web.py:131,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,route,api-service-web,A4,PT-ROUTE-0378,flip `ROUTE_OWNER_WEB_GET_OPENSEARCH_XML` -> `python`,BATCH-A4-ROUTES
ROUTE-0379,endpoints/web.py,org_view,GET,/organization/<path:path>,session-or-anon-ui,"web.route(""/organization/<path:path>"", methods=[""GET""]); web.route(""/organization/<path:path>/"", methods=[""GET""]); no_cache",endpoints/web.py:145,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0379,flip `ROUTE_OWNER_WEB_GET_ORGANIZATION_PATH_PATH` -> `python`,BATCH-A4-ROUTES
ROUTE-0380,endpoints/web.py,org_view,GET,/organization/<path:path>/,session-or-anon-ui,"web.route(""/organization/<path:path>"", methods=[""GET""]); web.route(""/organization/<path:path>/"", methods=[""GET""]); no_cache",endpoints/web.py:145,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0380,flip `ROUTE_OWNER_WEB_GET_ORGANIZATION_PATH_PATH` -> `python`,BATCH-A4-ROUTES
ROUTE-0381,endpoints/web.py,organizations,GET,/organizations/,session-or-anon-ui,"web.route(""/organizations/""); web.route(""/organizations/new/""); no_cache",endpoints/web.py:191,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0381,flip `ROUTE_OWNER_WEB_GET_ORGANIZATIONS` -> `python`,BATCH-A4-ROUTES
ROUTE-0382,endpoints/web.py,organizations,GET,/organizations/new/,session-or-anon-ui,"web.route(""/organizations/""); web.route(""/organizations/new/""); no_cache",endpoints/web.py:191,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0382,flip `ROUTE_OWNER_WEB_GET_ORGANIZATIONS_NEW` -> `python`,BATCH-A4-ROUTES
ROUTE-0383,endpoints/web.py,plans,GET,/plans/,session-or-anon-ui,"web.route(""/plans/""); no_cache; route_show_if(features.BILLING)",endpoints/web.py:159,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route; route_show_if,api-service-web,A4,PT-ROUTE-0383,flip `ROUTE_OWNER_WEB_GET_PLANS` -> `python`,BATCH-A4-ROUTES
ROUTE-0384,endpoints/web.py,privacy,GET,/privacy,session-or-anon-ui,"web.route(""/privacy"", methods=[""GET""]); no_cache",endpoints/web.py:293,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0384,flip `ROUTE_OWNER_WEB_GET_PRIVACY` -> `python`,BATCH-A4-ROUTES
ROUTE-0385,endpoints/web.py,receipt,GET,/receipt,session-required,"web.route(""/receipt"", methods=[""GET""]); route_show_if(features.BILLING); require_session_login",endpoints/web.py:474,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-required-family-match).,require_session_login; route; route_show_if,api-service-web,A4,PT-ROUTE-0385,flip `ROUTE_OWNER_WEB_GET_RECEIPT` -> `python`,BATCH-A4-ROUTES
ROUTE-0386,endpoints/web.py,confirm_recovery,GET,/recovery,anon-allowed,"web.route(""/recovery"", methods=[""GET""]); route_show_if(features.MAILING); anon_allowed",endpoints/web.py:573,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (anon-allowed-family-match).,anon_allowed; route; route_show_if,api-service-web,A4,PT-ROUTE-0386,flip `ROUTE_OWNER_WEB_GET_RECOVERY` -> `python`,BATCH-A4-ROUTES
ROUTE-0387,endpoints/web.py,repository,GET,/repository/,session-or-anon-ui,"web.route(""/repository/"", defaults={""path"": """"}); web.route(""/repository/<path:path>"", methods=[""GET""]); no_cache",endpoints/web.py:249,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0387,flip `ROUTE_OWNER_WEB_GET_REPOSITORY` -> `python`,BATCH-A4-ROUTES
ROUTE-0388,endpoints/web.py,repository,GET,/repository/<path:path>,session-or-anon-ui,"web.route(""/repository/"", defaults={""path"": """"}); web.route(""/repository/<path:path>"", methods=[""GET""]); no_cache",endpoints/web.py:249,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0388,flip `ROUTE_OWNER_WEB_GET_REPOSITORY_PATH_PATH` -> `python`,BATCH-A4-ROUTES
ROUTE-0389,endpoints/web.py,buildtrigger,GET,/repository/<path:path>/trigger/<trigger>,session-or-anon-ui,"web.route(""/repository/<path:path>/trigger/<trigger>"", methods=[""GET""]); no_cache",endpoints/web.py:255,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0389,flip `ROUTE_OWNER_WEB_GET_REPOSITORY_PATH_PATH_TRIGGER_TRIGGER` -> `python`,BATCH-A4-ROUTES
ROUTE-0390,endpoints/web.py,build_status_badge,GET,/repository/<repopath:repository>/status,session-or-anon-ui,"web.route(""/repository/<repopath:repository>/status"", methods=[""GET""]); parse_repository_name(); anon_protect",endpoints/web.py:594,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,anon_protect; parse_repository_name; route,api-service-web,A4,PT-ROUTE-0390,flip `ROUTE_OWNER_WEB_GET_REPOSITORY_REPOPATH_REPOSITORY_STATUS` -> `python`,BATCH-A4-ROUTES
ROUTE-0391,endpoints/web.py,robots,GET,/robots.txt,session-or-anon-ui,"web.route(""/robots.txt"", methods=[""GET""])",endpoints/web.py:374,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,route,api-service-web,A4,PT-ROUTE-0391,flip `ROUTE_OWNER_WEB_GET_ROBOTS_TXT` -> `python`,BATCH-A4-ROUTES
ROUTE-0392,endpoints/web.py,search,GET,/search,session-or-anon-ui,"web.route(""/search""); no_cache",endpoints/web.py:165,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0392,flip `ROUTE_OWNER_WEB_GET_SEARCH` -> `python`,BATCH-A4-ROUTES
ROUTE-0393,endpoints/web.py,security,GET,/security/,session-or-anon-ui,"web.route(""/security/""); no_cache",endpoints/web.py:261,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route,api-service-web,A4,PT-ROUTE-0393,flip `ROUTE_OWNER_WEB_GET_SECURITY` -> `python`,BATCH-A4-ROUTES
ROUTE-0394,endpoints/web.py,setup,GET,/setup/,session-or-anon-ui,"web.route(""/setup/""); no_cache; route_show_if(features.SUPER_USERS)",endpoints/web.py:205,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (web-ui-family-match).,no_cache; route; route_show_if,api-service-web,A4,PT-ROUTE-0394,flip `ROUTE_OWNER_WEB_GET_SETUP` -> `python`,BATCH-A4-ROUTES
